Municipio|CP|Dirección|Gasolina95|Gasoleo|Distancia
Madrid|28005|CALLE SEGOVIA C/V A PASEO VIRGEN DEL PUERTO, S/N|1,899|1,909|2.445042294756996
Madrid|28005|CL PASEO ACACIAS, 8|1,909|1,929|1.1953105141868745
Madrid|28005|RONDA SEGOVIA, 37|1,894|1,919|2.0696587721692117
Madrid|28015|CALLE ALBERTO AGUILERA, 9|1,899|1,939|2.572840084230967
Madrid|28015|CALLE BRAVO MURILLO, 012|1,899|1,939|2.9448772893216257
Madrid|28015|CALLE ALBERTO AGUILERA, 18|1,889|1,919|2.6069858948408244
Madrid|28012|BARRIO CENTRO-EMBAJADORES, 83|1,879|1,909|1.0379942009455496
Madrid|28012|GLORIETA EMBAJADORES, 0|1,889|1,935|0.9823931020759663
Madrid|28046|CL PASEO CASTELLANA, 276|1,869|1,929|7.265079021028481
Madrid|28055|GLORIETA JOSE LUIS FERNANDEZ DEL AMO, SN|1,899|1,919|9.406096550868265
Madrid|28055|AVENIDA FRANCISCO JAVIER SAENZ DE OIZA, ESQUINA GLORIETA JUAN DE HARO, 5|1,914|1,949|11.320129076091783
Madrid|28055|CALLE FRANCISCO UMBRAL, 2|1,914|1,949|9.19465303265786
Madrid|28045|PASEO SANTA MARIA DE LA CABEZA, 90|1,799|1,799|1.5506009472778408
Madrid|28045|CL PLAZA LEGAZPI, 9|1,899|1,929|2.047733631499832
Madrid|28045|CL ANCORA 39|1,909|1,929|0.808704277183466
Madrid|28045|PASEO SANTA MARIA DE LA CABEZA, 18|1,909|1,929|0.48701670312035167
Madrid|28031|CARRETERA M-203 KM. 0,28|1,875|1,919|8.852272436119911
Madrid|28031|CARRETERA M-203 KM. 0,28|1,875|1,919|8.719532711852857
Madrid|28031|CALLE REAL DE ARGANDA, 74|1,889|1,939|8.432640907162678
Madrid|28031|AVENIDA ENSANCHE DE VALLECAS, 2|1,864|1,915|7.513627047882391
Madrid|28031|AUTOVIA A-3 KM. 7,1|1,894|1,929|6.080053854162624
Madrid|28031|AUTOVIA A-3 KM. 7,1|1,894|1,929|6.115163366020481
Madrid|28031|CARRETERA VILLAVERDE A VALLECAS KM. 267|1,747|1,737|6.051572999716197
Madrid|28031|CAMINO POZO DEL TIO RAIMUNDO, 6|1,757|1,737|5.471528792475243
Madrid|28031|CALLE G, 2|1,789|1,799|6.107193936906579
Madrid|28031|CR A-3  MG IZDO, KM 11,2 km 11,200|1,869|1,929|9.533959335340452
Madrid|28031|CR A-3   MG DCHO, KM 11,2 km 11,200|1,869|1,929|9.532687647325604
Madrid|28031|CARRETERA N-III KM. 11,8|1,765|1,749|10.141847817104061
Madrid|28031|CL AVENIDA ALBUFERA, 319|1,863|1,913|5.837046761208407
Madrid|28031|CALLE GUADALCANAL, 36|1,819|1,809|6.097925911496333
Madrid|28031|CALLE SIERRA DE LA DEMANDA, 2|1,889|1,979|6.68117506581422
Madrid|28031|CARRETERA VILLAVERDE A VALLECAS KM. 248|1,899|1,989|6.027829232412097
Madrid|28031|CAMINO HORMIGUERAS, 153|1,757|1,737|5.922835394286034
Madrid|28031|CARRETERA DE VILLAVERDE A VALLECAS KM. 269|1,819|1,809|6.107083596531435
Madrid|28031|CALLE CERRO DEL MURMULLO, 1|1,849|1,849|10.43709621452358
Madrid|28031|CALLE CAMINO DE LAS HORMIGUERAS, 177|1,747|1,737|6.3706675591970665
Madrid|28007|CALLE CAVANILLES, 58|1,889|1,909|1.7684072484755027
Madrid|28007|AVENIDA CIUDAD DE BARCELONA, 61|1,884|1,915|1.6694723785364287
Madrid|28007|AV DOCTOR ESQUERDO, 153|1,899|1,929|1.9788822466058336
Madrid|28001|CALLE GOYA, 24|1,879|1,899|1.9038803761857042
Madrid|28016|CALLE RAMON Y CAJAL, 2|1,905|1,939|4.866105982530962
Madrid|28016|CL AVDA .ALFONSO XIII  ESQ.C/ COSTA|1,909|1,949|5.883518665356353
Madrid|28016|CALLE COLOMBIA C/V BOLIVIA, 1|1,879|1,915|5.448902769489668
Madrid|28016|AVENIDA PIO XII, 6|1,889|1,929|6.196209196800888
Madrid|28006|CL MARIA DE MOLINA, 21|1,899|1,929|3.219291560467385
Madrid|28006|CL PRINCIPE DE VERGARA  106|1,859|1,889|3.4060678527581887
Madrid|28028|AVENIDA DE LOS TOREROS, S/N|1,840|1,915|3.7999355250119082
Madrid|28028|CALLE BERLIN, S/N, S/N|1,840|1,919|4.267663281370524
Madrid|28028|PASEO MARQUES DE ZAFRA, 31|1,885|1,929|3.0090505438531605
Madrid|28028|CALLE DOCTOR GOMEZ ULLA, S/N|1,885|1,929|3.0712035848916006
Madrid|28036|CL MATEO INURRIA, 4|1,899|1,949|6.364914956441666
Madrid|28036|CL PASEO DE LA HABANA, 168|1,909|1,949|5.578597228657579
Madrid|28036|AVENIDA PÍO XII, 98|1,889|1,929|7.145663040144073
Madrid|28002|CALLE CORAZON DE MARIA, 11|1,899|1,929|4.0718217082680574
Madrid|28002|AV DOCTOR ARCE  30|1,859|1,889|4.394150720262964
Madrid|28002|CALLE SERRANO, 197|1,905|1,939|4.735625499094735
Madrid|28002|CALLE PRINCIPE DE VERGARA, 134|1,895|1,929|3.9761146821510778
Madrid|28002|CALLE CLARA DEL REY, 45|1,885|1,929|4.256145020812339
Madrid|28002|CALLE CORAZON DE MARIA, 76|1,899|1,929|5.715718370084854
Madrid|28002|PLAZA REPUBLICA ARGENTINA, 8|1,895|1,929|4.009502265264331
Madrid|28050|CALLE ABETAL, 8|1,909|1,959|10.530553552937459
Madrid|28050|CALLE PORTOMARIN, 25|||11.6735314659494
Madrid|28050|AVENIDA FRANCISCO PI Y MARGALL, 5|||9.817544137307863
Madrid|28050|CALLE MARIA DE PORTUGAL, 15|1,884|1,925|10.112859759535013
Madrid|28050|AVENIDA MANOTERAS, 34|1,869|1,979|9.008565152275779
Madrid|28039|CALLE OFELIA NIETO, 65|1,919|1,935|5.913422536268566
Madrid|28039|CALLE FRANCOS RODRIGUEZ, SN|1,909|1,949|5.65325367786337
Madrid|28039|CALLE OFELIA NIETO, 64|1,909|1,949|5.9146916286344435
Madrid|28003|CALLE CEA BERMUDEZ, 32|1,909|1,939|3.5463295542320887
Madrid|28003|PASEO SAN FRANCISCO DE SALES, 44|1,909|1,939|4.033086421676857
Madrid|28003|CL RIOS ROSAS, 1|1,899|1,939|3.7367665312158618
Madrid|28040|CR A-6, 8|1,889|1,939|7.899161249643185
Madrid|28040|CALLE ISAAC PERAL, S/N|1,909|1,939|4.02952142715248
Madrid|28020|CL GENERAL YAGUE, S.N.|1,905|1,939|5.188872112008878
Madrid|28020|CALLE BRAVO MURILLO, 229|1,874|1,864|5.338858718392704
Madrid|28020|CALLE BRAVO MURILLO, 358|1,859|1,849|6.13694844694107
Madrid|28029|CALLE SINESIO DELGADO, 15|1,899|1,939|7.1532720266466825
Madrid|28029|AVENIDA MONFORTE DE LEMOS, 10|1,895|1,939|7.812148248183478
Madrid|28029|CL MONFORTE DE LEMOS, 7|1,884|1,929|7.547011296846315
Madrid|28010|CALLE ALMAGRO, 9|1,895|1,929|2.1696890805513966
Madrid|28010|CALLE SANTA ENGRACIA, 82|1,899|1,939|3.1440147512895393
Madrid|28048|CARRETERA M-605 KM. 5|1,904|1,925|12.397284510520121
Madrid|28048|CARRETERA M-605 KM. 5|1,904|1,925|12.330604116368923
Madrid|28049|CARRETERA M-607 KM. 13|1,899|1,939|11.897308092506604
Madrid|28049|CARRETERA M-607 KM. 19|1,829|1,879|17.029901294746228
Madrid|28049|CARRETERA M-607 KM. 17,7|||17.045504266402723
Madrid|28034|CALLE CARDENAL HERRERA ORIA, 81|1,889|1,919|8.846765960880601
Madrid|28034|CARRETERA COLMENAR VIEJO KM. 10,5|1,880|1,950|10.049436729568768
Madrid|28034|CARRETERA COLMENAR VIEJO KM. 10,5|1,880|1,950|9.993316295195104
Madrid|28034|SAN GENJO, 2|1,879|1,899|8.237879370266507
Madrid|28034|CL NUESTRA SEÑORA DE VALVERDE, 175|1,895|1,939|10.444574010522873
Madrid|28034|CR M-607, 11,7|1,889|1,929|10.851424750668334
Madrid|28000|CALLE SAN DALMACIO, 13|1,767|1,767|7.3904609809323825
Madrid|28000|CARRETERA VILLAVERDE A VALLECAS KM. 283|1,747|1,737|6.172561324895892
Madrid|28000|CALLE GUADALCANAL, 39|1,879|1,989|6.144005553665307
Madrid|28000|CALLE SANTO DOMINGO, 10|1,889|1,939|11.000796411189784
Madrid|28000|AVENIDA DEMOCRACIA, 15|1,785|1,779|6.387359084589854
Madrid|28000|AVENIDA PRINCESA JUANA DE AUSTRIA, 91|1,828|1,818|8.810130976142371
Madrid|28000|CALLE JOSE PAULETE, |1,779|1,859|3.7131791435285426
Madrid|28000|AVENIDA LOS ROSALES, 15|1,757|1,767|4.692016790949014
Madrid|28023|CARRETERA DE LA CORUÑA KM 12 KM. |1,898|1,948|11.290918067985862
Madrid|28023|CALLE PIÑUECAR, 53|||8.455043689367784
Madrid|28023|CALLE SAGITARIO, 2|1,839|1,829|11.039865798699802
Madrid|28023|AVENIDA VICTORIA, 34|1,899|1,929|12.62108225362809
Madrid|28023|CARRETERA A6 KM. 11,6|1,864|1,919|11.076070111863642
Madrid|28035|CALLE ANTONIO MACHADO, S/N|1,884|1,949|6.52194833438649
Madrid|28035|GLORIETA MARIANO SALVADOR MAELLA, S/N|1,879|1,929|7.77196560735293
Madrid|28035|AVENIDA CARDENAL HERRERA ORIA, 290|1,909|1,939|8.193858459500671
Madrid|28035|AVENIDA VENTISQUERO DE LA CONDESA, |1,909|1,929|9.59657742958004
Madrid|28041|AVENIDA AVDA DE ANDALUCIA KM 7,1, S/N|1,829|1,849|5.244587215556835
Madrid|28041|CR N-4     P.K. 6,70 D|1,869|1,889|4.804983019253225
Madrid|28041|CR N-4     P.K. 6,70 I|1,869|1,889|4.748380393273074
Madrid|28041|CALLE EDUARDO BARREIROS, 114|1,739|1,739|6.048337387369064
Madrid|28041|CARRETERA CARABANCHEL A VILLAVERDE KM. 89|1,759|1,769|6.390362497770803
Madrid|28041|BARRIO AVENIDA VERBENA D ELA PALOMA, S/N|1,869|1,929|5.665187313180568
Madrid|28041|AVENIDA CORDOBA, 49|||3.5453917373071064
Madrid|28041|AVENIDA OROVILLA, 22|1,757|1,767|4.893289721126493
Madrid|28018|CALLE MARTINEZ DE LA RIVA, 119|1,899|1,919|3.5515821933895624
Madrid|28018|AVENIDA ENTREVIAS, S/N|1,885|1,919|4.128234357901292
Madrid|28018|CARRETERA M-602 KM. 1,3|1,859|1,919|6.162441276137062
Madrid|28018|CALLE MERCADRID PARCELA D-3, S/N|1,875|1,919|6.381487491349924
Madrid|28021|AVENIDA LOS ROSALES, 147|1,869|1,889|8.036051434908844
Madrid|28021|CALLE VALLE DE TOBALINA, 24|1,777|1,767|8.383138977670663
Madrid|28021|AVENIDA ANDALUCIA, 83|1,809|1,769|9.07581388757633
Madrid|28021|CALLE LA ACEBEDA, 1|1,777|1,767|7.956187525271098
Madrid|28021|CALLE RESINA, 4|1,767|1,767|8.133427112602217
Madrid|28021|AVENIDA REAL DE PINTO, 73|1,767|1,767|7.90805918375565
Madrid|28021|CALLE RAFAEL BOTI, 5|||11.163383865581636
Madrid|28021|CALLE LA ACEBEDA, 57|1,799|1,799|8.882629638477697
Madrid|28021|CARRETERA 403 KM. 2|1,844|1,849|9.093316424583495
Madrid|28021|CTRA.M-403 (GETAFE-VILLAVERDE) (MARGEN IZQUIERDO) km 2|1,844|1,849|9.164213333435761
Madrid|28021|CALLE HULLA, 22|1,849|1,899|7.835383003204432
Madrid|28021|AVENIDA REAL DE PINTO, 106|1,829|1,899|7.967281362024682
Madrid|28021|AVENIDA REAL DE PINTO, 156|1,809|1,819|8.803831652769931
Madrid|28033|CALLE TOMAS REDONDO, 10|1,909|1,929|8.689476493986444
Madrid|28033|CL CARRETERA CANILLAS, 150|1,909|1,919|7.803509378386349
Madrid|28033|PASEO DEL MAR CASPIO, S,N|1,889|1,929|8.199126762480988
Madrid|28033|AVENIDA SAN LUIS, 75|1,840|1,929|7.570391517118108
Madrid|28032|AVDA. DE LA DEMOCRACIA 62|1,894|1,929|6.663220344911513
Madrid|28032|AVDA. DEMOCRACIA, 41|1,894|1,929|6.621389023469124
Madrid|28032|CARRETERA VICALVARO A ESTACION DE O`DONNELL KM. 22|1,777|1,837|8.680085690277574
Madrid|28032|CALLE VERSALLES, 23|1,859|1,889|6.312014099824894
Madrid|28032|AVENIDA DAROCA,336|1,929|1,949|7.105704586791417
Madrid|28042|CL AVENIDA GENERAL, 22|1,924|1,969|11.751086924900275
Madrid|28042|CAMINO DEL CUARTEL, 9|1,874|1,944|11.640612211384362
Madrid|28042|ZONA PLATAFORMA AEROPUERTO BARAJAS T123, S/N|1,885|1,959|12.247391794119638
Madrid|28042|AVDA. DE LOGROÑO, 233|1,924|1,969|10.777284646193438
Madrid|28042|GLORIETA YUCATAN, S/N|1,884|1,925|7.215457506858229
Madrid|28042|M-40, PK 7.4 - ACCESO AL CAMPO DE LAS NACIONES, 2|1,904|1,939|8.47153542222471
Madrid|28042|CR N-2, 12,6|1,879|1,959|11.665073919775942
Madrid|28042|CR N-2, 12,6|1,875|1,949|11.551867843355646
Madrid|28042|AV HISPANIDAD, S.N.|1,895|1,959|11.667497626894388
Madrid|28042|ZONA AEROPUERTO DE BARAJAS, TERMINAL 2, S/N|1,885|1,959|11.934873183587916
Madrid|28042|ZONA AEROPUERTO DE BARAJAS, T4, S/N|1,885|1,959|13.786301207507169
Madrid|28042|AVENIDA HISPANIDAD, 44|1,885|1,959|12.598937980966616
Madrid|28011|PASEO EXTREMADURA, 300|1,919|1,919|5.857754249330819
Madrid|28011|AVDA. PORTUGAL, 16|1,904|1,919|4.318601897510332
Madrid|28038|AVENIDA ALBUFERA, 89|1,799|1,799|3.14853388808578
Madrid|28047|CALLE ALHAMBRA, 70|1,909|1,875|4.539067591959601
Madrid|28026|CALLE AVENIDA DE LOS POBLADOS, 167|1,819|1,859|4.31972050326718
Madrid|28026|CL ANTONIO LOPEZ, 244|1,849|1,899|2.917026682065427
Madrid|28026|AVDA. PRINCESA JUANA DE AUSTRIA KM 4,700 km 4.700|1,889|1,909|4.08298708611342
Madrid|28024|CR A-5, 9|1,885|1,939|8.97971698248924
Madrid|28024|CALLE SESEÑA, 40|1,869|1,879|6.232410316689544
Madrid|28024|AVENIDA PADRE PIQUER, S/N|1,909|1,875|6.575026446989821
Madrid|28024|CALLE FUENTE DE LIMA, 22|||8.133890407856871
Madrid|28025|CARRETERA A 42 KM. 5,9|1,869|1,929|5.194567566977019
Madrid|28025|PLAZA SETUBAL, 4|1,875|1,909|3.8824524023823375
Madrid|28025|AVENIDA DE LOS POBLADOS, 18|1,874|1,915|4.912855433173029
Madrid|28025|AVENIDA DE LOS POBLADOS, SN|1,799|1,849|5.838312529833828
Madrid|28044|AVENIDA GENERAL FANJUL, 1|1,869|1,915|6.424765113102537
Madrid|28044|CALLE REUS, 13|1,799|1,809|5.961944871408147
Madrid|28044|CALLE VIA DE LOS POBLADOS, 128|||4.495220688807515
Madrid|28044|CALLE MUGUET, 12|1,773|1,775|6.47902267927048
Madrid|28044|AVENIDA AVIACION, 32|1,879|1,909|7.74666458359496
Madrid|28044|CALLE REAL, 2|1,869|1,929|6.685450445226093
Madrid|28044|AVENIDA CARABANCHEL ALTO, 180|1,839|1,879|7.706456686795213
Madrid|28054|CALLE AGUACATE, 45|1,869|1,929|6.184645139711572
Madrid|28054|AVENIDA AVIACIÓN, 26|1,829|1,839|7.86762161960095
Madrid|28054|CALLE CALDERILLA, 1|1,818|1,817|6.218680569234316
Madrid|28054|AVENIDA PESETA, 6|1,879|1,909|7.679253319529396
Madrid|28054|CALLE HILARIO HERRANZ ESTABLOS, 20|1,849|1,874|5.131218059693035
Madrid|28054|CALLE SINFONIA, 9|1,799|1,809|8.128313159684744
Madrid|28019|GLORIETA VALLE DEL ORO, 10|1,885|1,919|4.006216870490058
Madrid|28019|AVENIDA OPORTO, SN|1,885|1,919|3.9937631359945187
Madrid|28019|CALLE ANTONIO LÓPEZ, 8|1,919|1,879|2.278564225313148
Madrid|28019|CALLE ANTONIO DE LEYVA, 87|1,859|1,879|3.2742648455102614
Madrid|28019|PS DE LA ERMITA DEL SANTO  S/N|1,869|1,929|3.4079697340854103
Madrid|28019|PASEO ERMITA DEL SANTO, 80|||3.556812504027689
Madrid|28022|CALLE FUEMBELLIDA, 3|||11.066936336647082
Madrid|28022|C/ CAMPEZO, 7 km CENTRO COMERCIAL M|1,809|1,839|10.144061001169506
Madrid|28022|AVENIDA CANILLEJAS A VICALVARO, 147|1,899|1,949|7.131713470081359
Madrid|28022|Niceto Alcalá Zamora 20|1,899|1,929|10.13935721147648
Madrid|28022|CALLE SOFIA, 36|1,899|1,819|8.073676242495345
Madrid|28053|CALLE MENDEZ ALVARO, S/N|||2.456994960046133
Madrid|28053|CARRETERA M-301 KM. 3,5|1,875|1,919|5.77069255068088
Madrid|28053|MONTE IGUELDO, 108|1,884|1,915|2.8474805308582276
Madrid|28053|AVENIDA EJE CENTRAL, 7|||5.999670093475125
Madrid|28051|AUTOPISTA M-50 KM. 34|1,875|1,949|11.518240167315168
Madrid|28051|AUTOVIA M-50 KM. 34|1,875|1,949|11.297967768957276
Madrid|28051|AUTOVIA A-3 KM. 14,3|1,875|1,949|12.76055387078017
Madrid|28051|AVENIDA MAYORAZGO, 20|1,799|1,859|6.922659194738263
Madrid|28051|CALLE ALTO DEL RETIRO, 2|1,899|1,949|10.082099060327865
Madrid|28051|CARRERA VALENCIA, KM, 14,800|1,859|1,879|13.169686994563593
Madrid|28051|CALLE ADOLFO BIOY CASARES 2, 2|1,829|1,879|9.007740908107001
Madrid|28030|CL GL.CORREGIDOR SANCHO DE CORD, S.|1,899|1,929|3.486464882268476
Madrid|28030|CALLE FUENTE CARRANTONA S/N, 6|1,899|1,929|4.918314592831779
Madrid|28030|AVENIDA AVENIDA DE MORATALAZ, 21|1,899|1,929|2.762161188265087
Madrid|28017|CALLE SANTA GENOVEVA, 26|1,840|1,915|4.085987920166387
Madrid|28017|CALLE RICARDO ORTIZ, 44|1,849|1,899|3.4437519438312987
Madrid|28017|AVENIDA DE DAROCA, 4|1,899|1,919|5.474903109674731
Madrid|28017|EMILIO FERRARI, 68|1,869|1,879|4.992069195669681
Madrid|28027|CALLE ALCALA, 415|1,949|1,919|5.535637196620283
Madrid|28027|ALCALA, 284-286|1,879|1,899|4.337775640007687
Madrid|28027|CALLE HERNANDEZ TEJADA, S/N ESQ. AGASTIA, S/N (A-2 KM 5,1), S,N|1,894|1,925|5.412234441508056
Madrid|28027|CL ALCALA, 510|1,899|1,949|6.70712564356461
Madrid|28027|ARTURO SORIA, 29|1,899|1,929|5.659422467150486
Madrid|28027|CALLE VIRGEN DE LLUC ,14, 14|1,909|1,875|4.299642774402327
Madrid|28037|CALLE ISAAC JIMENEZ, 3|||6.12577923092825
Madrid|28037|CALLE ALBASANZ, 69|1,819|1,859|6.811426321294632
Madrid|28037|Avda. Vicálvaro esq. Pobladura del Valle||1,909|7.140570652249846
Madrid|28037|Avda. Arcentales, 7||1,909|5.971610408928224
Madrid|28037|HNOS. GARCIA NOBLEJAS, 35|1,869|1,899|5.623688908155925
Madrid|28037|POBLADURA DEL VALLE, 31|1,899|1,915|6.663827940561389
Madrid|28043|CALLE LOPEZ DE HOYOS, 327|1,895|1,939|6.663837683672513
Madrid|28043|CL ARTURO SORIA, 175|1,895|1,939|6.058493269734986
Madrid|28043|SILVANO, 88-90|1,899|1,929|7.437295237604957
Madrid|28052|CR M-214, 4,6|1,885|1,939|8.809495334665488
Madrid|28052|CARRETERA CARRETERA VICALVARO-RIVAS KM. 3,600|1,879|1,859|11.042019545529017
Madrid|28052|CARRETERA VICALVARO KM. 3,6|1,879|1,859|10.990604908227278
Madrid|28052|CALLE RIVAS, 14|||8.91294187438034
Madrid|28052|CALLE PIROTECNIA, 2|1,757|1,817|8.047757785841934
Majadahonda|28220|CALLE BARBERO DE SEVILLA, 2|1,859|1,879|16.60633953782153
Majadahonda|28220|CARRETERA M-516 KM. 0,1|1,849|1,899|16.17713679787959
Majadahonda|28220|POLIGONO EL CARRALERO II, C/ DE LAS MORERAS, , PARCELA 37, 2|1,829|1,859|15.761037706010832
Majadahonda|28220|CL DR.MARAÑON C/V PL ESCORIAL, S.N.|1,899|1,929|17.01857352861605
Majadahonda|28220|CARRETERA DEL PLANTIO Nº66 KM. 1,2|1,899|1,929|15.098025408547608
Majadahonda|28220|CALLE MANUEL DE FALLA, 2|1,899|1,939|14.780507095158718
Majadahonda|28220|CALLE SARASATE, 1|1,854|1,915|14.597939579373879
Majadahonda|28220|CALLE CEREZA, 4|1,799|1,829|15.94780204065841
Majadahonda|28220|CALLE MARIANO ALCARAZ, POL IND EL CARRALERO, SN|1,819|1,849|15.601746239169689
Majadahonda|28220|CALLE BARBERO DE SEVILLA EL, 1|1,879|1,929|16.56030711845733
Manzanares el Real|28410|CARRETERA M-607 KM. 46|1,830|1,915|35.646772861900125
Manzanares el Real|28410|CL AVENIDA MADRID, 24|1,839|1,889|38.072678109419925
Meco|28880|AV. DE MADRID 51|1,869|1,929|33.833790817766385
Meco|28880|AU R-2 ,P.K. 35,5 M.D.|1,889|1,969|37.31428621204363
Meco|28880|AU R-2 ,P.K. 35,5 M.I.|1,889|1,969|37.48128593829927
Meco|28880|CAMINO DEL OLIVO, 1|1,747|1,797|33.924542393673164
Meco|28880|CARRETERA N-II KM. 38||1,889|36.35186734530313
Mejorada del Campo|28840|CALLE PORTUGAL, 30|1,839|1,819|17.445182703063594
Mejorada del Campo|28840|CALLE PORTUGAL, 3|1,887|1,948|17.48823404824976
Mejorada del Campo|28840|CALLE ARAGON, 18|1,849|1,799|18.093753108295566
Mejorada del Campo|28840|CARRETERA M208 KM. 9,600|1,889|1,899|16.992938006649844
Mejorada del Campo|28840|CALLE DURATON, 1|1,889|1,949|17.076315018646188
Mejorada del Campo|28840|CTRA: M-218 ESQ. C/ DUERO - POLÍGONO INDUSTRIAL|1,869|1,929|17.36608677871985
Miraflores de la Sierra|28792|CARRETERA M -611 KM. 7,6   GENERAL SANJURJO KM. 7,6|1,853|1,924|44.98842876821789
Miraflores de la Sierra|28792|CARRETERA M-610 KM. 19,8|1,854|1,925|45.346940858996064
Miraflores de la Sierra|28792|CR M-611, 3,1|1,869|1,929|41.82484798597839
Molar (El)|28710|AUTOVIA A-1 KM. 41|1,909|1,959|35.50370851628313
Molar (El)|28710|AUTOVIA A-1 KM. 40,2|1,909|1,959|35.09791535225868
Molar (El)|28710|AUTOVIA N-1 KM. 40,2|1,909|1,959|35.14976588967997
Moraleja de Enmedio|28950|AVENIDA FUENLABRADA, 30|1,869|1,915|21.15857661757442
Moraleja de Enmedio|28950|CALLE ROBLE, 6|1,829|1,799|21.238130165736973
Moralzarzal|28411|CALLE LAGO ONTARIO, 24|1,869|1,915|37.504760125326385
Moralzarzal|28411|CARRETERA COMARCAL 608 KM. 35,2|1,859|1,909|37.57190186907829
Morata de Tajuña|28530|CR M-311, 4,9|1,872|1,939|25.677271298675414
Móstoles|28931|CARRETERA M-856 (ENLACE N-V Y N-501) KM. 1|1,899|1,909|18.438288520057718
Móstoles|28934|GLORIETA LOS JAZMINES, S/N||1,879|16.39615330595766
Móstoles|28935|CARRETERA NACIONAL VKM 19 KM. |1,829|1,849|18.8115693377302
Móstoles|28935|CR A-5, 21|1,879|1,919|20.228499795729665
Móstoles|28935|CR A-5, 21|1,879|1,919|20.139088492801523
Móstoles|28935|AVENIDA PORTUGAL (DE), 80|1,864|1,919|18.438602557055326
Móstoles|28935|AVENIDA PORTUGAL (IZDO), 80|1,864|1,919|18.383522148945186
Móstoles|28935|CALLE JULIO CERVERA, 21|1,809|1,849|16.75160329683583
Móstoles|28933|CALLE FRAGUA, 16|1,799|1,839|16.05321830840017
Móstoles|28935|AVENIDA DE LAS NIEVES, 5|1,809|1,799|17.159098066757704
Móstoles|28937|CARRETERA SIMÓN HERNÁNDEZ, 61 KM. |1,829|1,879|16.883176429647005
Móstoles|28937|CL TORRES QUEVEDO, 2|1,889|1,939|16.635154559842633
Móstoles|28936|CALLE TORRES QUEVEDO, 6|1,769|1,769|16.641676725166814
Móstoles|28936|CALLE SIMON HERNANDEZ (DE), 73|1,768|1,758|16.685953074563695
Móstoles|28936|CALLE SIMON HERNANDEZ, 75|1,769|1,759|16.624127677396327
Móstoles|28938|CALLE E, 7|1,809|1,799|18.991368071690797
Móstoles|28938|CALLE ALFONSO XII, 20|1,767|1,767|18.251883410827197
Móstoles|28938|CALLE MORALEJA DE ENMEDIO, 6|1,839|1,859|18.310181043682352
Móstoles|28938|CALLE E, 12|1,854|1,919|19.007629133876318
Navacerrada|28491|CARRETERA M601 KM. 10,3|1,859|1,919|44.37729286242388
Navacerrada|28491|CARRETERA M-601 KM. 10,3|1,859|1,919|44.276982649942035
Navalcarnero|28600|AUTOVIA A-5 KM. 28,6|1,859|1,929|27.633783122804523
Navalcarnero|28600|AUTOVIA A-5 KM. 28,6|1,859|1,929|27.654107682860804
Navalcarnero|28600|AVENIDA CONSTITUCION, 170|1,859|1,929|29.759218303026813
Navalcarnero|28600|CARRETERA M600 KM. 45,800|1,845|1,899|28.518465037287545
Navalcarnero|28600|POLIGONO ALPARACHE, S/N|1,875|1,939|29.071428850399162
Navalcarnero|28600|CALLE CAMINO DE BASTOS, 6|1,789|1,799|29.40067211970787
Navalcarnero|28600|CALLE ZACARIAS (DE), 20|1,819|1,809|29.723772793459347
Navalcarnero|28600|CALLE MINA DEL COTORRO (DE LA), S/N|1,799|1,829|28.757672655364594
Navas del Rey|28695|CARRETERA M-501 KM. 40,500|1,834|1,904|46.47821984928203
Nuevo Baztán|28514|CR M-204, 27|1,862|1,952|38.395322283971524
Orusco de Tajuña|28570|CARRETERA M-204 KM. 14,700|1,789|1,869|43.525224678119116
Paracuellos de Jarama|28860|CALLE PASEO DE LAS CAMELIAS, 2|1,869|1,929|18.4035131036872
Paracuellos de Jarama|28860|CALLE MIGUEL DE CERVANTES, 2|1,865|1,949|15.857369615008665
Paracuellos de Jarama|28860|CARRETERA M-111 KM. 8,200|1,865|1,939|18.16314410601919
Paracuellos de Jarama|28860|CAMINO VIEJO DE COBEÑA, 34|1,824|1,874|17.65176360774705
Parla|28980|AVENIDA RONDA (DE), S/N|1,797|1,797|21.370191230160053
Parla|28980|CALLE TOLEDO CV VIA DE RONDA, SN|1,797|1,797|21.50359044265948
Parla|28980|CALLE REAL, 125|1,797|1,797|18.902146693728792
Parla|28980|CALLE REAL, S/N|1,865|1,949|21.09389071872034
Parla|28980|CR PARLA-PINTO, KM.  0.15|1,885|1,949|19.084871245277615
Parla|28980|CALLE LONDRES, 43|1,885|1,949|19.706581129309313
Parla|28980|CARRETERA PINTO-PARLA KM. 1|1,838|1,828|19.480192599081004
Parla|28980|CALLE BUENAVISTA, 2|1,859|1,929|18.61560391248261
Parla|28980|CARRETERA DE PARLA A PINTO M-408 KM. S/N|||19.513574464375974
Parla|28980|CALLE NANTES, 119|1,818|1,817|19.815578244932546
Parla|28980|AVENIDA CERRO DEL RUBAL, 12|1,805|1,785|19.964338109232024
Parla|28980|AVENIDA DE LAS LAGUNAS, 1|1,849|1,919|19.824662500456046
Parla|28980|AVENIDA CERRO DEL RUBAL, 1|1,805|1,785|19.908574342606194
Parla|28983|AVENIDA CERRO DEL RUBAL, 7|1,805|1,785|19.877103962528956
Pelayos de la Presa|28696|CR M-501, 48,2 (M-501 km 48,25)|1,825|1,925|52.8866635299188
Perales de Tajuña|28540|AUTOVIA A-3 (MADRID-LEVANTE) KM. 37,870|1,889|1,939|34.065498096343624
