Municipio|CP|Dirección|Gasolina95|Gasoleo|Distancia
Alcorcón|28925|CL AVDA DEL PINAR, S.N.|1,909|1,959|11.83575660979881
Alcorcón|28925|CL MAZO,  S/N|1,869|1,929|12.05239710321404
Alcorcón|28925|AVENIDA DE LOS CASTILLOS, 9|1,894|1,914|11.632215522747133
Alcorcón|28925|CARRETERA M-506 KM. 4|1,809|1,849|16.102612754165794
Alcorcón|28925|CARRETERA M 506 KM. 4,900|1,809|1,849|16.054727209376466
Alcorcón|28925|AVENIDA TRANVIA, 4|1,829|1,849|12.695817083662337
Alcorcón|28925|CALLE ALPEDRETE, 12|1,859|1,859|12.388115709123529
Alcorcón|28924|CTRA. N-V km 12,5|1,799|1,799|12.226005376663297
Alcorcón|28924|CALLE LAGUNA, 2|1,889|1,939|12.024193956625943
Alcorcón|28095|CALLE PARAGUAY ESQUINA AVENIDA DE AMERICA, SN|1,799|1,789|12.798784104044346
Alcorcón|28095|CALLE LAGUNA, 88|1,799|1,799|13.642024137619186
Alcorcón|28095|CALLE LAGUNA, 36|1,899|1,949|12.962318201922365
Alcorcón|28095|AVENIDA SAN MARTIN DE VALDEIGLESIAS, 9|1,767|1,757|12.673713578431453
Alcorcón|28095|CALLE TELECOMUNICACIONES, 2|1,829|1,799|13.329600679627392
Alcorcón|28923|CALLE EBANISTAS, 2|||12.119105951877572
Alcorcón|28923|CALLE POLVORANCA, 65|1,799|1,799|12.901382409222883
Alcorcón|28923|CALLE EBANISTAS,, 2|1,899|1,949|12.115516050082743
Alcorcón|28923|CALLE FRAGUAS, 1|1,899|1,899|12.724723904282202
Aldea del Fresno|28620|CARRETERA M-507 KM. 16,8|1,869|1,925|43.874570583652385
Algete|28110|CALLE PELAYA (DE LA), 1|1,789|1,789|23.633137034232107
Algete|28110|CARRETERA M - 106 KM. 3,100|1,899|1,869|23.417796018119123
Algete|28110|CARRETERA M-106 KM. 3,100|1,899|1,869|23.39389332095012
Algete|28110|CR ALGETE KM  5,80|1,869|1,909|25.90375613534659
Algete|28110|CALLE MAYOR, 63|1,809|1,809|26.065424131533266
Alpedrete|28430|CALLE PUERTA DE ABAJO, 57|1,749|1,729|38.8464809531351
Alpedrete|28430|CALLE PUERTA DE ABAJO, 20|1,779|1,809|38.9676345310218
Alpedrete|28430|CALLE PRIMAVERA, 94|1,859|1,905|38.941900586829775
Aranjuez|28300|AUTOVIA N-IV KM. 48,700|1,869|1,915|43.4393658718977
Aranjuez|28300|CARRETERA MADRID CADIZ KM. 11|1,789|1,849|41.83309053567093
Aranjuez|28300|AVENIDA ANDALUCIA, 115|1,809|1,839|43.28039606779394
Aranjuez|28300|CARRETERA M-305 KM. 5|1,869|1,929|38.22172550007517
Aranjuez|28300|CALLE REINA (DE LA), 20|1,809|1,839|42.176405033371566
Aranjuez|28300|PASEO DELEITE (DEL), 13|1,799|1,817|43.42761203115038
Arganda del Rey|28500|CARRETERA M-832 KM. 3|1,872|1,942|20.496371203941987
Arganda del Rey|28500|AVENIDA MADRID (DE), SN|1,769|1,759|20.548819359971652
Arganda del Rey|28500|CAMINO SAN MARTIN DE LA VEGA, 8|1,779|1,769|23.357716844929794
Arganda del Rey|28500|AVENIDA MADRID (DE), 66|1,769|1,759|22.560474975378337
Arganda del Rey|28500|CARRETERA M-832 KM. 3|1,872|1,942|20.542398742285254
Arganda del Rey|28500|AVENIDA DE MADRID, 37|1,869|1,929|22.68769303424594
Arganda del Rey|28500|AVENIDA EJERCITO (DEL), 44|1,869|1,929|23.881597010781356
Arganda del Rey|28500|AVENIDA VALDEARGANDA, 8|1,874|1,955|23.4024345963952
Arganda del Rey|28500|CAMINO CAMINO DE SAN MARTÍN DE LA VEGA A ARGANDA, 2|1,779|1,769|23.6093360317293
